# Months Out from EOWY23 ,Forecasted Unregulated Inflow Volume (maf) - Most,Forecasted Unregulated Inflow Volume (maf) - Min,Forecasted Unregulated Inflow Volume (maf) - Max
MonthsAway,Most,Min,Max
24,9.415,6.844,12.29
23,9.526,6.906,12.213
22,9.372,6.815,12.106
21,9.435,6.992,12.089
20,9.381,6.992,12.089
19,9.381,6.992,
18,9.381,6.992,12.089
17,9.367,6.992,
16,8.35,6.75,12.2
15,8.3,4.7,15.7
14,8.3,4.698,15.701
13,8.3,4.7,
12,8.1,4.799,15.5
11,8,4.937,
10,7.7,4.887,
9,9.498,7.178,14.927
8,10.439,8.373,
7,10.869,8.958,
6,14.472,12.271,17.864
5,14.17,12.807,
4,13.845,12.799,
3,14.001,14.001,
2,13.75,13.75,13.75
1,13.598,,
Actual,13.421,,
WY22,6.084,,
WY21,3.502,,
